"Case#","DATE OF OCCURRENCE","BLOCK","PRIMARY DESCRIPTION","SECONDARY DESCRIPTION","LOCATION DESCRIPTION","ARREST","DOMESTIC","BEAT","WARD","X COORDINATE","Y COORDINATE","LATITUDE","LONGITUDE","OBJECT TYPE"
"JE223310","5/08/2021 6:05","035XX N ORANGE AVE","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","N","Y","1631","38","1122786","1922584","41.94396992","-87.82410613","P"
"JD393427","10/08/2020 22:30","0000X N LARAMIE AVE","ROBBERY","STRONG ARM - NO WEAPON","VEHICLE NON-COMMERCIAL","N","Y","1522","28","1141706","1900082","41.88189247","-87.75512125","P"
"JD365005","9/11/2020 20:30","002XX E 69TH PL","THEFT","$500 AND UNDER","STREET","N","N","322","6","1178920","1858987","41.76835524","-87.61972612","P"
"JD364082","9/11/2020 17:23","065XX S DR MARTIN LUTHER KING JR DR","BATTERY","SIMPLE","SIDEWALK","N","N","312","20","1180046","1861715","41.77581543","-87.61551536","P"
"JD364108","9/11/2020 17:24","001XX W 87TH ST","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","Y","N","622","21","1176778","1847275","41.73626462","-87.6279295","P"
"JE224191","5/08/2021 23:25","003XX S SACRAMENTO BLVD","ROBBERY","VEHICULAR HIJACKING","GAS STATION","N","N","1124","28","1156434","1898301","41.8767202","-87.70108811","P"
"JD334581","08/16/2020 02:20:00 PM","049XX W RACE AVE","THEFT","$500 AND UNDER","STREET","N","N","1532","37","1143302","1903209","41.89044367","-87.74918253","P"
"JD386453","10/02/2020 15:22","111XX S CORLISS AVE","CRIMINAL DAMAGE","TO VEHICLE","GAS STATION","N","N","531","9","1184369","1831492","41.69278007","-87.60061105","P"
"JD393185","10/08/2020 15:00","075XX S STONY ISLAND AVE","CRIMINAL DAMAGE","TO VEHICLE","HOSPITAL BUILDING / GROUNDS","N","N","411","8","1188234","1855158","41.757631","-87.58570825","P"
"JD364168","9/11/2020 18:04","079XX S LAFAYETTE AVE","CRIMINAL TRESPASS","TO LAND","GAS STATION","Y","N","623","17","1177312","1852570","41.75078272","-87.62581362","P"
"JD393421","10/08/2020 18:00","027XX S HOMAN AVE","SEX OFFENSE","AGGRAVATED CRIMINAL SEXUAL ABUSE","APARTMENT","N","N","1032","22","1154139","1885692","41.84216576","-87.70985087","P"
"JD392798","10/08/2020 13:50","011XX S MICHIGAN AVE","CRIMINAL TRESPASS","TO LAND","HOTEL / MOTEL","Y","N","123","4","1177417","1895669","41.86904785","-87.62412552","P"
"JD393714","10/08/2020 19:45","052XX W MADISON ST","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","N","Y","1522","28","1141642","1899526","41.88036792","-87.75537001","P"
"JD393015","10/08/2020 16:00","062XX N KENMORE AVE","THEFT","FROM BUILDING","RESIDENCE - PORCH / HALLWAY","N","N","2433","48","0","0","","","P"
"JE223211","5/08/2021 1:43","056XX S HERMITAGE AVE","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK","N","N","715","15","1165638","1867392","41.79171172","-87.66817272","P"
"JE228274","5/06/2021 13:07","033XX W 63RD ST","OFFENSE INVOLVING CHILDREN","CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER","RESIDENCE","N","N","823","23","1155183","1862651","41.7789173","-87.70663626","P"
"JD362308","9/10/2020 4:00","068XX S DR MARTIN LUTHER KING JR DR","BURGLARY","UNLAWFUL ENTRY","OTHER RAILROAD PROPERTY / TRAIN DEPOT","Y","N","322","20","1180094","1859879","41.77077617","-87.61539558","P"
"JE227888","5/08/2021 18:00","018XX N MASON AVE","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE","N","N","2531","29","1136461","1911530","41.91340258","-87.7741071","P"
"JE117020","01/18/2021 11:00:00 PM","013XX W CHESTNUT ST","BURGLARY","UNLAWFUL ENTRY","APARTMENT","N","N","1213","27","1167285","1906136","41.89799376","-87.66102132","P"
"JE119174","01/18/2021 08:05:00 AM","023XX W St Paul Ave","CRIMINAL DAMAGE","TO VEHICLE","APARTMENT","N","N","1434","32","1160443","1911734","41.91349949","-87.68599616","P"
"JE118982","01/18/2021 05:00:00 PM","048XX W NORTH AVE","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","GROCERY FOOD STORE","N","N","2533","37","1143915","1910200","41.90961629","-87.74675573","P"
"JE116478","01/18/2021 05:00:00 PM","055XX W LELAND AVE","BURGLARY","UNLAWFUL ENTRY","RESIDENCE - GARAGE","N","N","1623","45","1138660","1930538","41.96552285","-87.76556581","P"
"JE118350","01/18/2021 03:00:00 PM","070XX S ST LAWRENCE AVE","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","322","6","1181454","1858456","41.76684005","-87.61045423","P"
"JE115979","01/18/2021 03:00:00 AM","132XX S ELLIS AVE","CRIMINAL DAMAGE","TO PROPERTY","CHA APARTMENT","N","Y","533","9","1185543","1817560","41.65452126","-87.59674888","P"
"JE105025","1/05/2021 20:30","018XX W HOOD AVE","PUBLIC PEACE VIOLATION","PEEPING TOM","RESIDENCE","N","N","2413","40","1162942","1940780","41.99315104","-87.67599689","P"
"JE129155","2/01/2021 7:00","055XX W SCHUBERT AVE","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE","N","N","2514","30","1139054","1917405","41.92947744","-87.76443763","P"
"JD388963","10/05/2020 0:10","026XX N CLARK ST","ROBBERY","ARMED - OTHER DANGEROUS WEAPON","CONVENIENCE STORE","Y","N","1935","43","1171920","1917941","41.93028634","-87.64364886","P"
"JD376975","09/17/2020 04:20:00 PM","0000X S HOYNE AVE","OFFENSE INVOLVING CHILDREN","SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER","RESIDENCE","N","Y","1223","27","1162417","1899830","41.88079287","-87.6790776","P"
"JE129686","2/01/2021 19:28","024XX W ROOSEVELT RD","CRIMINAL DAMAGE","TO PROPERTY","GAS STATION","N","N","1023","28","1160395","1894644","41.86660405","-87.68664569","P"
"JE129772","2/01/2021 22:00","034XX W DIVERSEY AVE","CRIMINAL TRESPASS","TO LAND","GROCERY FOOD STORE","Y","N","1412","35","1153029","1918407","41.93196108","-87.71305647","P"
"JE223708","5/08/2021 13:30","019XX N SAWYER AVE","BATTERY","AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON","APARTMENT","N","Y","1422","35","1154277","1912614","41.91603975","-87.70862532","P"
"JE118085","01/18/2021 06:56:00 PM","080XX S ELLIS AVE","OTHER OFFENSE","TELEPHONE THREAT","APARTMENT","N","N","631","8","1184293","1851808","41.74853133","-87.60025593","P"
"JE115959","01/18/2021 02:16:00 AM","013XX W 73RD ST","WEAPONS VIOLATION","UNLAWFUL USE - HANDGUN","ALLEY","N","N","734","17","1168569","1856355","41.76136209","-87.65774322","P"
"JE119223","01/18/2021 09:22:00 AM","030XX N CLARK ST","THEFT","RETAIL THEFT","TAVERN / LIQUOR STORE","N","N","1934","44","1170688","1920297","41.93677841","-87.64810693","P"
"JE116266","01/18/2021 11:30:00 AM","039XX W MADISON ST","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","1122","28","1150055","1899721","41.88074339","-87.72447297","P"
"JE223280","5/08/2021 5:20","062XX N LINCOLN AVE","BATTERY","DOMESTIC BATTERY SIMPLE","HOTEL / MOTEL","N","Y","1711","50","1152199","1941511","41.99537642","-87.7154944","P"
"JD364156","9/11/2020 9:30","021XX W ADDISON ST","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","APARTMENT","N","N","1921","47","1161245","1923879","41.9468095","-87.6827112","P"
"JD364090","9/11/2020 1:44","033XX W 38TH PL","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","N","N","911","12","1154826","1878877","41.82345084","-87.70751196","P"
"JD397045","09/26/2020 09:00:00 AM","020XX W 68TH ST","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE","N","N","726","16","1163897","1859556","41.77024549","-87.67477672","P"
"JE223217","5/08/2021 1:45","002XX N STATE ST","MOTOR VEHICLE THEFT","THEFT / RECOVERY - AUTOMOBILE","HOTEL / MOTEL","N","N","111","42","1176327","1901797","41.88588808","-87.62794224","P"
"JE223989","5/08/2021 12:00","022XX W MAYPOLE AVE","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","N","Y","1223","27","1161251","1900967","41.88393721","-87.68332743","P"
"JD367739","9/11/2020 16:53","058XX W CORCORAN PL","OTHER OFFENSE","OTHER VEHICLE OFFENSE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","Y","1512","29","1137408","1901970","41.88715176","-87.77085824","P"
"JD367306","09/14/2020 06:00:00 PM","050XX W HARRISON ST","ROBBERY","ARMED - HANDGUN","SIDEWALK","Y","N","1533","29","1142557","1896841","41.87298298","-87.75207695","P"
"JD368098","9/05/2020 0:01","039XX N SHERIDAN RD","CRIMINAL DAMAGE","CRIMINAL DEFACEMENT","CONSTRUCTION SITE","N","N","1923","46","1168899","1926279","41.95323232","-87.65450759","P"
"JE229087","5/07/2021 14:00","054XX N LOVEJOY AVE","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE","N","N","1622","45","1137294","1935901","41.98026413","-87.77045881","P"
"JD393081","10/08/2020 15:30","037XX W 86TH PL","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","N","Y","834","18","1152966","1846952","41.73588071","-87.71517761","P"
"JE229086","4/10/2021 20:00","088XX S MICHIGAN AVE","CRIMINAL SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE","N","N","632","9","1178698","1846413","41.73385578","-87.62092147","P"
"JD393060","10/08/2020 5:30","010XX N LEAVITT ST","BURGLARY","FORCIBLE ENTRY","RESIDENCE - GARAGE","N","N","1212","2","1161544","1907099","41.90075782","-87.6820806","P"
"JE225600","5/08/2021 11:00","080XX S ELIZABETH ST","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE","N","N","612","21","1169389","1851418","41.74779659","-87.65488055","P"
"JD393331","10/08/2020 21:53","073XX S STEWART AVE","THEFT","$500 AND UNDER","APARTMENT","N","Y","731","6","1174894","1856342","41.76118776","-87.63456203","P"
"JD364121","9/11/2020 13:30","034XX W FRANKLIN BLVD","BURGLARY","UNLAWFUL ENTRY","APARTMENT","N","N","1121","27","1153337","1903120","41.89000607","-87.71233134","P"
"JD393142","10/08/2020 7:00","115XX S THROOP ST","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","524","34","1169731","1828342","41.68446515","-87.65429424","P"
"JD392594","10/08/2020 2:00","014XX S EMERALD AVE","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","1232","11","1171579","1893320","41.86273237","-87.64562716","P"
"JD393232","10/08/2020 19:30","004XX N PEORIA ST","THEFT","OVER $500","STREET","N","N","1214","27","1170334","1903026","41.88939361","-87.64991369","P"
"JE223424","5/08/2021 9:40","049XX S LEAMINGTON AVE","NARCOTICS","FOUND SUSPECT NARCOTICS","RESIDENCE","Y","N","814","22","1142860","1871426","41.80323492","-87.75159645","P"
"JD364130","9/11/2020 15:50","060XX N CICERO AVE","THEFT","$500 AND UNDER","GROCERY FOOD STORE","N","N","1621","39","1143285","1939645","41.99042779","-87.74833179","P"
"JD393147","10/08/2020 1:30","026XX W AUGUSTA BLVD","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","N","N","1211","26","1158690","1906555","41.89932402","-87.69257846","P"
"JE228963","04/25/2021 07:05:00 PM","019XX N KEYSTONE AVE","ASSAULT","SIMPLE","SIDEWALK","N","Y","2534","35","1149074","1912551","41.91596928","-87.72774261","P"
"JD393352","10/08/2020 22:21","077XX S PAULINA ST","ASSAULT","SIMPLE","SIDEWALK","N","Y","611","17","1166353","1853468","41.75348723","-87.66594715","P"
"JD392682","10/08/2020 12:15","014XX W 82ND ST","ASSAULT","SIMPLE","APARTMENT","N","N","614","21","1167957","1850366","41.74494062","-87.660158","P"
"JE129438","2/01/2021 16:15","025XX N OAK PARK AVE","CRIMINAL DAMAGE","TO PROPERTY","STREET","N","N","2512","36","1130656","1916207","41.92633874","-87.79532607","P"
"JE225481","5/08/2021 8:20","060XX S TALMAN AVE","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE","N","N","825","16","1159745","1864449","41.78375881","-87.68986213","P"
"JD392348","10/08/2020 1:05","077XX S ABERDEEN ST","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","Y","Y","612","17","1170324","1853509","41.75351429","-87.65139369","P"
"JD363333","9/11/2020 1:09","028XX N MILWAUKEE AVE","CRIMINAL TRESPASS","TO LAND","RESTAURANT","Y","N","1412","35","1153002","1918629","41.9325708","-87.71314979","P"
"JE223416","5/08/2021 10:00","076XX S MARQUETTE AVE","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","N","Y","421","7","1195656","1854602","41.75592507","-87.55852646","P"
"JE223675","5/08/2021 12:55","037XX N RECREATION DR","THEFT","OVER $500","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1925","46","1171826","1925510","41.95105804","-87.64377054","P"
"JE229663","10/06/2020 10:00","063XX W 63RD ST","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE","N","N","812","13","0","0","","","P"
"JD363659","9/11/2020 11:06","071XX S CORNELL AVE","ROBBERY","ATTEMPT ARMED - HANDGUN","SIDEWALK","N","N","324","7","1188470","1857976","41.7653582","-87.58475348","P"
"JD392773","10/08/2020 10:00","002XX S KEDZIE AVE","THEFT","POCKET-PICKING","SIDEWALK","N","N","1124","28","1155082","1898797","41.87810849","-87.70603894","P"
"JD393562","10/08/2020 19:40","020XX W POTOMAC AVE","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL","N","N","1424","1","0","0","","","P"
"JE225746","5/08/2021 20:30","088XX S UNION AVE","THEFT","OVER $500","VEHICLE NON-COMMERCIAL","N","N","2223","21","1173184","1846360","41.73383382","-87.6411236","P"
"JD392680","10/08/2020 11:53","028XX S ST LOUIS AVE","OFFENSE INVOLVING CHILDREN","POSSESSION OF PORNOGRAPHIC PRINT","RESIDENCE","Y","N","1032","22","1153496","1884914","41.84004362","-87.71223115","P"
"JD397231","10/03/2020 12:00","074XX S COLFAX AVE","BURGLARY","UNLAWFUL ENTRY","APARTMENT","N","N","334","7","1194666","1856110","41.76008755","-87.56210497","P"
"JE223821","5/08/2021 16:00","106XX S WESTERN AVE","ASSAULT","SIMPLE","STREET","N","N","2211","19","1162280","1833939","41.69998224","-87.68141528","P"
"JD392346","10/08/2020 1:37","023XX W GRAND AVE","ROBBERY","ARMED - HANDGUN","RESTAURANT","N","N","1221","26","1160439","1903413","41.89066608","-87.68624145","P"
"JE223345","5/08/2021 8:21","050XX S PULASKI RD","ASSAULT","AGGRAVATED - HANDGUN","STREET","N","N","821","14","1150549","1870977","41.80185653","-87.72340855","P"
"JE225422","5/08/2021 10:00","047XX S ELLIS AVE","THEFT","$500 AND UNDER","APARTMENT","N","N","222","4","1183716","1873759","41.80878033","-87.60168587","P"
"JE156796","3/02/2021 11:55","039XX W FILLMORE ST","NARCOTICS","MANUFACTURE / DELIVER -  HEROIN (WHITE)","STREET","Y","N","1132","24","1150256","1895081","41.86800679","-87.72385589","P"
"JE223295","5/08/2021 6:25","012XX N DEARBORN ST","ASSAULT","SIMPLE","CONVENIENCE STORE","N","N","1824","2","1175711","1908536","41.90439412","-87.63000143","P"
"JD393256","10/08/2020 21:10","054XX N KEDZIE AVE","THEFT","$500 AND UNDER","STREET","N","N","1712","39","1154065","1935878","41.97988203","-87.70878139","P"
"JE114995","01/16/2021 10:15:00 PM","034XX S STATE ST","BATTERY","AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY","SCHOOL - PRIVATE BUILDING","Y","N","211","3","1176835","1882233","41.83219169","-87.62666809","P"
"JD392583","10/08/2020 10:05","001XX W 35TH ST","DECEPTIVE PRACTICE","THEFT OF LABOR / SERVICES","CTA STATION","Y","N","915","11","1175739","1881773","41.83095408","-87.63070323","P"
"JE228611","04/15/2021 09:39:00 AM","017XX N CICERO AVE","DECEPTIVE PRACTICE","THEFT BY LESSEE, MOTOR VEHICLE","OTHER (SPECIFY)","N","N","2533","37","1144138","1910955","41.9116839","-87.74591752","P"
"JE223990","5/08/2021 19:00","036XX N CICERO AVE","ASSAULT","AGGRAVATED - HANDGUN","STREET","N","N","1731","30","1143734","1923598","41.94638512","-87.74708413","P"
"JE228712","03/23/2021 01:00:00 PM","077XX S KINGSTON AVE","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","APARTMENT","N","N","421","7","1194532","1854224","41.75491552","-87.56265799","P"
"JE226074","5/08/2021 3:00","022XX W WALNUT ST","BATTERY","SIMPLE","COMMERCIAL / BUSINESS OFFICE","N","N","1223","27","1161535","1901638","41.88577258","-87.68226586","P"
"JE224132","5/08/2021 21:20","047XX S COTTAGE GROVE AVE","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","223","4","1182386","1873939","41.80930523","-87.60655839","P"
"JD392570","10/08/2020 11:05","042XX S PRINCETON AVE","ASSAULT","SIMPLE","CHA APARTMENT","N","N","925","3","1175000","1876652","41.81691816","-87.63356767","P"
"JE223828","5/08/2021 16:00","005XX N STATE ST","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1831","42","1176272","1904025","41.89200307","-87.62807696","P"
"JE227011","5/08/2021 17:12","075XX W BELMONT AVE","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE","N","Y","2511","29","1125054","1920405","41.9379532","-87.81581815","P"
"JE224254","5/08/2021 23:55","043XX W LEXINGTON ST","ASSAULT","AGGRAVATED - HANDGUN","RESIDENCE","N","N","1131","24","1147512","1896360","41.87156954","-87.73389694","P"
"JE116437","01/18/2021 04:30:00 PM","032XX W DOUGLAS BLVD","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","1022","24","1155030","1893109","41.86250106","-87.70638241","P"
"JD392358","10/08/2020 2:20","029XX W WALNUT ST","BATTERY","SIMPLE","RESIDENCE","N","N","1222","27","1156848","1901494","41.88547372","-87.69948144","P"
"JE116528","01/18/2021 06:29:00 PM","059XX S NORMAL BLVD","BATTERY","AGGRAVATED - HANDGUN","STREET","N","N","711","20","1173976","1865625","41.78668179","-87.63765133","P"
"JE116599","01/18/2021 07:58:00 PM","066XX S ARTESIAN AVE","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","832","16","1161187","1860461","41.77278545","-87.6846855","P"
"JE116548","01/18/2021 05:30:00 AM","025XX W JARVIS AVE","THEFT","$500 AND UNDER","STREET","N","N","2411","50","1158168","1949013","42.01584189","-87.69333107","P"
"JE116319","01/18/2021 01:30:00 PM","041XX N GREENVIEW AVE","THEFT","$500 AND UNDER","APARTMENT","N","N","1912","47","1165329","1927441","41.95649775","-87.66759795","P"
"JD393165","10/08/2020 18:47","051XX S ASHLAND AVE","NARCOTICS","POSSESS - SYNTHETIC DRUGS","STREET","Y","N","932","16","1166543","1870652","41.80063828","-87.66476128","P"
"JE116596","01/18/2021 05:34:00 PM","051XX N LEAVITT ST","BATTERY","SIMPLE","PARK PROPERTY","N","N","2032","40","1160752","1933981","41.97454016","-87.68424205","P"
"JE116010","01/18/2021 06:40:00 AM","054XX W THOMAS ST","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","1524","37","1139663","1906795","41.9003513","-87.76245922","P"
"JE115937","01/18/2021 01:09:00 AM","065XX N SEELEY AVE","BATTERY","SIMPLE","APARTMENT","Y","N","2412","50","1161445","1943316","42.0001413","-87.68143239","P"
"JE224104","5/08/2021 22:08","038XX W MADISON ST","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","N","N","1122","28","1150780","1899737","41.88077315","-87.72181039","P"
"JE119510","01/18/2021 12:00:00 AM","041XX N MARINE DR","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","APARTMENT","N","Y","1915","46","1171164","1927759","41.95724396","-87.64613771","P"
"JE229906","04/16/2021 02:53:00 PM","034XX N Southport Ave","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","1924","44","0","0","","","P"
"JD436228","11/19/2020 07:40:00 PM","093XX S STONY ISLAND AVE","ROBBERY","STRONG ARM - NO WEAPON","STREET","Y","N","413","8","1188534","1843457","41.72551515","-87.58498172","P"
"JE116887","01/18/2021 11:44:00 PM","102XX W ZEMKE RD","BURGLARY","FORCIBLE ENTRY","AIRPORT PARKING LOT","N","N","1654","41","1106955","1941060","41.99491395","-87.88193767","P"
"JE116021","01/18/2021 07:08:00 AM","0000X W TERMINAL ST","CONCEALED CARRY LICENSE VIOLATION","OTHER","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","Y","N","1653","41","1101811","1934419","41.97676298","-87.90098372","P"
"JE116258","01/18/2021 12:50:00 PM","091XX S PERRY AVE","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","RESIDENCE - GARAGE","N","N","634","21","1177217","1844268","41.72800314","-87.62641165","P"
"JE129017","2/01/2021 10:00","087XX S WABASH AVE","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","632","9","1178242","1846965","41.73538089","-87.62257533","P"
"JE240582","05/24/2021 01:45:00 AM","037XX N HALSTED ST","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL","N","N","1923","46","1170257","1924931","41.94950374","-87.64955505","P"
"JE223963","5/08/2021 18:34","005XX S LEAMINGTON AVE","THEFT","OVER $500","STREET","N","N","1533","29","1142220","1897105","41.87371368","-87.7533077","P"
"JE118418","01/18/2021 08:00:00 AM","014XX W Albion Ave","THEFT","FROM BUILDING","OTHER (SPECIFY)","N","N","2432","49","1165273","1943940","42.00177273","-87.66733222","P"
"JE116697","01/18/2021 10:22:00 PM","109XX S WENTWORTH AVE","NARCOTICS","POSSESS - CRACK","STREET","Y","N","513","34","1176883","1832582","41.69594267","-87.62798582","P"
"JE121882","1/11/2021 11:46","001XX N CENTRAL AVE","THEFT","FROM BUILDING","APARTMENT","N","N","1512","29","0","0","","","P"
"JE116712","01/18/2021 11:45:00 PM","018XX N CLARK ST","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","RESIDENCE","N","N","1814","43","1174427","1912756","41.91600278","-87.63459159","P"
"JE129059","2/01/2021 11:02","038XX W ROOSEVELT RD","NARCOTICS","POSSESS - CANNABIS MORE THAN 30 GRAMS","SIDEWALK","Y","N","1011","24","1151056","1894439","41.86622945","-87.72093573","P"
"JE116236","01/18/2021 12:30:00 PM","016XX W CHICAGO AVE","ASSAULT","SIMPLE","COMMERCIAL / BUSINESS OFFICE","N","N","1215","1","1165417","1905418","41.89606348","-87.66790274","P"
"JE116536","01/18/2021 06:27:00 PM","045XX N CAMPBELL AVE","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","N","Y","1911","47","1158889","1930020","41.96370951","-87.69120204","P"
"JE116570","01/18/2021 06:34:00 PM","017XX N MONITOR AVE","BURGLARY","HOME INVASION","APARTMENT","N","N","2531","29","1137164","1910873","41.91158709","-87.7715402","P"
"JE116673","01/18/2021 10:15:00 PM","054XX W GRACE ST","CRIMINAL DAMAGE","TO VEHICLE","ALLEY","N","N","1633","38","1139443","1924773","41.94968889","-87.76282796","P"
"JE119467","01/18/2021 03:50:00 PM","023XX S MILLARD AVE","CRIMINAL DAMAGE","TO VEHICLE","PARK PROPERTY","N","N","1013","22","1152408","1888134","41.84890122","-87.71613877","P"
"JE116424","01/18/2021 04:08:00 PM","005XX N SPAULDING AVE","NARCOTICS","POSSESS - CANNABIS MORE THAN 30 GRAMS","STREET","Y","N","1121","27","1154281","1903437","41.89085715","-87.70885606","P"
"JE116731","01/18/2021 11:00:00 AM","014XX S SACRAMENTO DR","ROBBERY","STRONG ARM - NO WEAPON","PARK PROPERTY","N","N","1022","24","1156220","1893242","41.8628421","-87.70201046","P"
"JE119225","01/18/2021 11:30:00 PM","054XX W JACKSON BLVD","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","1522","29","1140258","1898137","41.87658178","-87.76048603","P"
"JE116159","01/18/2021 10:30:00 AM","023XX W 103RD ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE","RESIDENCE","N","Y","2212","19","1162762","1836280","41.70639632","-87.67958531","P"
"JE223325","5/08/2021 7:44","048XX W JACKSON BLVD","THEFT","$500 AND UNDER","GAS STATION","N","N","1533","24","1144394","1898243","41.87679591","-87.74529711","P"
"JE116681","01/18/2021 10:26:00 PM","008XX E SOLIDARITY DR","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","PARK PROPERTY","Y","N","132","4","1181435","1894765","41.86647518","-87.60940265","P"
"JE129541","2/01/2021 17:30","051XX N MILWAUKEE AVE","ASSAULT","SIMPLE","STREET","N","N","1623","45","1138420","1933678","41.97414365","-87.76637184","P"
"JE116265","01/18/2021 08:30:00 AM","003XX W 42ND ST","CRIMINAL DAMAGE","TO VEHICLE","RESIDENCE","N","N","925","3","1174840","1877111","41.81818127","-87.63414089","P"
"JE189268","4/04/2021 12:00","072XX S BENNETT AVE","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","APARTMENT","N","N","333","5","1189959","1857425","41.76381052","-87.57931362","P"
"JE116813","01/18/2021 07:00:00 PM","067XX S PAXTON AVE","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","331","5","1192039","1860646","41.77259891","-87.57158554","P"
"JE116630","01/18/2021 09:09:00 PM","037XX W ROOSEVELT RD","CRIMINAL TRESPASS","TO LAND","GAS STATION","N","N","1011","24","1151592","1894452","41.86625461","-87.71896767","P"
"JD363345","9/11/2020 0:30","030XX W FLOURNOY ST","BURGLARY","UNLAWFUL ENTRY","APARTMENT","N","Y","1134","28","1156149","1896876","41.87281561","-87.70217302","P"
"JE116208","01/18/2021 10:00:00 AM","055XX W IRVING PARK RD","THEFT","OVER $500","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1633","38","1138754","1926048","41.95320017","-87.76532961","P"
"JE129747","2/01/2021 0:00","002XX S SACRAMENTO BLVD","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","APARTMENT","N","N","1124","28","1156421","1898788","41.87805684","-87.70112267","P"
"JE117013","01/18/2021 05:30:00 PM","020XX N STAVE ST","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","APARTMENT","N","N","1431","1","1158581","1913530","41.91846621","-87.6927875","P"
"JE115955","01/18/2021 01:40:00 AM","090XX S NORMAL AVE","ASSAULT","AGGRAVATED - HANDGUN","RESIDENCE","N","Y","2223","21","1174557","1844782","41.72947316","-87.63614043","P"
"JE129604","2/01/2021 18:29","044XX W WEST END AVE","NARCOTICS","POSSESS - BARBITURATES","STREET","Y","N","1113","28","1146946","1900610","41.88324287","-87.73586635","P"
"JE116249","01/18/2021 09:30:00 AM","081XX S MARSHFIELD AVE","ASSAULT","AGGRAVATED - HANDGUN","APARTMENT","N","N","614","21","1166760","1850676","41.74581692","-87.66453517","P"
"JD470224","12/26/2020 07:05:00 PM","002XX N LECLAIRE AVE","NARCOTICS","MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS","STREET","Y","N","1532","28","1142335","1901177","41.88488563","-87.75278434","P"
